## base_source

### 0 
pair, source_acc, target_acc, best_epoch, time
a2w, 0.8758864998817444, 0.6729559898376465, None, 1374
a2d, 0.8723404407501221, 0.6299999952316284, None, 1396
w2d, 0.9874213933944702, 0.9700000286102295, None, 616
w2a, 0.9874213933944702, 0.43262410163879395, None, 470
d2a, 0.9800000190734863, 0.4716311991214752, None, 565
d2w, 0.9800000190734863, 0.9371069073677063, None, 569

### 1
pair, source_acc, target_acc, best_epoch, time
a2w, 0.8634752035140991, 0.6603773832321167, None, 1401
a2d, 0.8758864998817444, 0.6499999761581421, None, 1405
w2d, 0.9874213933944702, 1.0, None, 485
w2a, 0.9937106966972351, 0.4822694957256317, None, 479
d2a, 0.9800000190734863, 0.2748226821422577, None, 580
d2w, 0.9800000190734863, 0.9622641801834106, None, 580


## base_source_2 (1 epoch training on pretrained)

### 2
pair, source_acc, target_acc, best_epoch, time
a2w, 0.7180851101875305, 0.4150943458080292, None, 26
a2d, 0.7180851101875305, 0.4000000059604645, None, 26
w2d, 0.7610062956809998, 0.6899999976158142, None, 9
w2a, 0.7610062956809998, 0.326241135597229, None, 9
d2a, 0.75, 0.3758865296840668, None, 11
d2w, 0.75, 0.74842768907547, None, 11

# 3 
pair, source_acc, target_acc, best_epoch, time
a2w, 0.7996453642845154, 0.48427674174308777, None, 28
a2d, 0.7996453642845154, 0.46000000834465027, None, 28
w2d, 0.7924528121948242, 0.7799999713897705, None, 9
w2a, 0.7924528121948242, 0.35992908477783203, None, 9
d2a, 0.7900000214576721, 0.402482271194458, None, 11
d2w, 0.7900000214576721, 0.6855345964431763, None, 11

# 4
pair, source_acc, target_acc, best_epoch, time
a2w, 0.7535461187362671, 0.5157232880592346, None, 27
a2d, 0.7535461187362671, 0.4699999988079071, None, 27
w2d, 0.8238993883132935, 0.7599999904632568, None, 9
w2a, 0.8238993883132935, 0.38297873735427856, None, 9
d2a, 0.75, 0.35283687710762024, None, 11
d2w, 0.75, 0.704402506351471, None, 11

# 5
a2w, 0.7783687710762024, 0.5660377144813538, None, 486
a2d, 0.7996453642845154, 0.699999988079071, None, 26
w2d, 0.6666666865348816, 0.6000000238418579, None, 192
w2a, 0.7861635088920593, 0.3652482330799103, None, 16

# 5.2
a2w, 0.7783687710762024, 0.5345911979675293, None, 30
a2d, 0.7765957713127136, 0.5400000214576721, None, 27
w2d, 0.8113207817077637, 0.7599999904632568, None, 9
w2a, 0.805031418800354, 0.38297873735427856, None, 9
d2a, 0.7699999809265137, 0.3156028389930725, None, 34
d2w, 0.8100000023841858, 0.7861635088920593, None, 11

# 6
pair, source_acc, target_acc, best_epoch, time
