## base_source

### 0 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8776595592498779, 0.6792452931404114, None, None, 1426, 7079503, 17387825
a2d, 0.8971630930900574, 0.6800000071525574, None, None, 1426, 1280896, 12421123
w2a, 0.9937106966972351, 0.4556737542152405, None, None, 442, 1114033, 11917236
w2d, 0.9874213933944702, 0.9800000190734863, None, None, 441, 1328316, 12199910
d2a, 0.9700000286102295, 0.4645390212535858, None, None, 401, 1063327, 11830512
d2w, 0.9900000095367432, 0.9685534834861755, None, None, 402, 1010693, 11824415

### 1
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8882978558540344, 0.698113203048706, None, None, 1425, 1260885, 12408071
a2d, 0.8882978558540344, 0.7300000190734863, None, None, 1427, 1549764, 12702283
w2a, 1.0, 0.44326239824295044, None, None, 441, 1100129, 11914364
w2d, 0.9874213933944702, 0.9800000190734863, None, None, 440, 1025393, 11900876
d2a, 0.9900000095367432, 0.4131205677986145, None, None, 401, 1056170, 11820997
d2w, 0.9800000190734863, 0.9308176040649414, None, None, 402, 1001502, 11822385

### 2
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8794326186180115, 0.6666666865348816, None, None, 1425, 1553251, 12702004
a2d, 0.881205677986145, 0.699999988079071, None, None, 1424, 1252790, 12406422
w2a, 0.9937106966972351, 0.4716311991214752, None, None, 441, 1391137, 12196980
w2d, 0.9874213933944702, 0.9800000190734863, None, None, 441, 1028534, 11899750
d2a, 0.9800000190734863, 0.445035457611084, None, None, 401, 1062998, 11827868
d2w, 1.0, 0.9433962106704712, None, None, 402, 997561, 11820880


## mmd 

### 1000 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8563829660415649, 0.7547169923782349, 25, 3.1737518161535263, 696, 6949618, 38669768
a2d, 0.838652491569519, 0.6700000166893005, 30, 3.1956677287817, 1058, 6854582, 38004840
w2a, 0.955974817276001, 0.4379432499408722, 26, 3.0659999549388885, 2196, 7223814, 39819298
w2d, 0.9811320900917053, 0.9800000190734863, 2, 3.359074665233493, 212, 3486557, 27126698
d2a, 0.949999988079071, 0.45390069484710693, 5, 3.0089945197105408, 875, 4379934, 35495212
d2w, 0.9599999785423279, 0.9622641801834106, 14, 3.345127921551466, 463, 4325644, 32056483

### 1001
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8492907881736755, 0.704402506351471, 24, 3.137354388833046, 2134, 5957479, 44985917
a2d, 0.8882978558540344, 0.6600000262260437, 5, 3.202345982193947, 287, 3766829, 40190587
w2a, 0.9685534834861755, 0.4521276652812958, 6, 3.045781224966049, 915, 5450922, 41984241
w2d, 0.9874213933944702, 0.9700000286102295, 4, 3.3673193901777267, 235, 2705878, 32747373
d2a, 0.949999988079071, 0.4716311991214752, 6, 3.0266632735729218, 929, 4697724, 43200661
d2w, 0.9599999785423279, 0.9308176040649414, 12, 3.3350037336349487, 420, 5509656, 33761858

### 1002
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8617021441459656, 0.6352201104164124, 9, 3.11488139629364, 377, 4465588, 47019329
a2d, 0.8670212626457214, 0.7099999785423279, 21, 3.1848477125167847, 573, 7457365, 51445840
w2a, 0.9811320900917053, 0.46276596188545227, 16, 3.0204183161258698, 1481, 5555201, 49084482
w2d, 0.9811320900917053, 0.9700000286102295, 2, 3.35498358681798, 204, 4438387, 32128513
d2a, 0.949999988079071, 0.45390069484710693, 12, 3.0689605474472046, 1278, 6293377, 48958237
d2w, 0.9399999976158142, 0.893081784248352, 3, 3.3192812353372574, 248, 4137192, 32673206

## coral

### 1000 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8758864998817444, 0.7295597195625305, 10, 3.0237490236759186, 492, 4204918, 37164079
a2d, 0.8670212626457214, 0.7099999785423279, 31, 3.1570146828889847, 848, 6624507, 36910286
w2a, 0.9874213933944702, 0.5017730593681335, 9, 2.9019313156604767, 1404, 5048286, 35623060
w2d, 0.9937106966972351, 0.9900000095367432, 4, 3.36768042948097, 503, 2713423, 22970995
